num,devicetime,id_an,latitude,longitude,name,phone,servertime,speed,status,date,time,time_stop,info,Landmark,hari
1,2018-03-20T06:02:00.401Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:02:00.401Z,0,Stop,2018-03-20,06:02:00,0:01:09,Ngetem,Perumahan,Selasa
1,2018-03-20T06:03:07.000Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:03:09.438Z,0,Stop,2018-03-20,06:03:09,0:01:52,Ngetem,Perumahan,Selasa
1,2018-03-20T06:05:01.457Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:05:01.457Z,0,Stop,2018-03-20,06:05:01,0:05:15,Macet,Perumahan,Selasa
1,2018-03-20T06:10:16.275Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:10:16.275Z,0,Stop,2018-03-20,06:10:16,0:01:13,Ngetem,Perumahan,Selasa
1,2018-03-20T06:11:27.000Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:11:29.396Z,0,Stop,2018-03-20,06:11:29,0:01:48,Ngetem,Perumahan,Selasa
1,2018-03-20T06:13:17.053Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:13:17.053Z,0,Stop,2018-03-20,06:13:17,0:03:01,Macet,Perumahan,Selasa
1,2018-03-20T06:16:18.455Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:16:18.455Z,0,Stop,2018-03-20,06:16:18,0:03:02,Macet,Perumahan,Selasa
1,2018-03-20T06:19:20.110Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:19:20.110Z,0,Stop,2018-03-20,06:19:20,0:00:28,Menurunkan Penumpang,,Selasa
1,2018-03-20T06:19:46.000Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:19:48.992Z,0,Stop,2018-03-20,06:19:48,0:04:55,Macet,Perumahan,Selasa
1,2018-03-20T06:24:43.328Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:24:43.328Z,0,Stop,2018-03-20,06:24:43,0:03:01,Macet,Perumahan,Selasa
1,2018-03-20T06:27:44.190Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:27:44.190Z,0,Stop,2018-03-20,06:27:44,0:00:24,Menurunkan Penumpang,,Selasa
1,2018-03-20T06:28:06.000Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:28:08.610Z,0,Stop,2018-03-20,06:28:08,0:02:37,Ngetem,Perumahan,Selasa
1,2018-03-20T06:30:45.126Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:30:45.126Z,0,Stop,2018-03-20,06:30:45,0:03:01,Macet,Perumahan,Selasa
1,2018-03-20T06:33:46.827Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:33:46.827Z,0,Stop,2018-03-20,06:33:46,0:02:42,Ngetem,Perumahan,Selasa
1,2018-03-20T06:36:26.000Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:36:28.624Z,0,Stop,2018-03-20,06:36:28,0:00:21,Menurunkan Penumpang,,Selasa
1,2018-03-20T06:36:49.323Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:36:49.323Z,0,Stop,2018-03-20,06:36:49,0:03:00,Ngetem,Perumahan,Selasa
1,2018-03-20T06:39:49.800Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:39:49.800Z,0,Stop,2018-03-20,06:39:49,0:03:01,Ngetem,Perumahan,Selasa
1,2018-03-20T06:42:50.760Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:42:50.760Z,0,Stop,2018-03-20,06:42:50,0:01:57,Ngetem,Perumahan,Selasa
1,2018-03-20T06:44:45.000Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:44:47.543Z,0,Stop,2018-03-20,06:44:47,0:01:04,Ngetem,Perumahan,Selasa
1,2018-03-20T06:45:51.701Z,12,-7.045896667,107.5358761,24 | D1904DB,,2018-03-20T06:45:51.701Z,0,Stop,2018-03-20,06:45:51,0:03:01,Macet,Perumahan,Selasa
